Date,Open,High,Low,Close,Adj Close,Volume
1962-09-21,4.875717,4.875717,4.786488,4.802422,1.036843,2235825
1962-09-24,4.748247,4.748247,4.611217,4.614404,0.996249,2745750
1962-09-25,4.614404,4.706820,4.576163,4.706820,1.016202,2557470
1962-09-26,4.706820,4.713193,4.531549,4.531549,0.978361,2149530
1962-09-27,4.531549,4.585723,4.442320,4.461440,0.963225,3012480
1962-09-28,4.464627,4.544296,4.464627,4.506055,0.972856,1482705
1962-10-01,4.506055,4.506055,4.337157,4.338751,0.936736,1937715
1962-10-02,4.375398,4.477374,4.375398,4.466221,0.964256,2965410
1962-10-03,4.466221,4.537922,4.423199,4.442320,0.959097,1882800
1962-10-04,4.442320,4.563416,4.423199,4.560229,0.984553,1365030
1962-10-05,4.560229,4.612811,4.528362,4.592097,0.991433,1820040
1962-10-08,4.592097,4.608031,4.576163,4.585723,0.990057,666825
1962-10-09,4.601657,4.684512,4.601657,4.668579,1.007945,1239510
1962-10-10,4.668579,4.738687,4.553856,4.577757,0.988337,1898490
1962-10-11,4.577757,4.633525,4.528362,4.537922,0.979737,1427790
1962-10-12,4.537922,4.547482,4.486934,4.528362,0.977673,1090455
1962-10-15,4.550669,4.678139,4.550669,4.678139,1.010009,972780
1962-10-16,4.678139,4.697259,4.557043,4.557043,0.983865,1317960
1962-10-17,4.557043,4.652645,4.531549,4.608031,0.994874,1443480
1962-10-18,4.608031,4.639898,4.526769,4.526769,0.977328,1027695
1962-10-19,4.526769,4.537922,4.435946,4.437540,0.958064,2479020
1962-10-22,4.396112,4.396112,4.318037,4.372212,0.943960,2871270
1962-10-23,4.372212,4.372212,4.206501,4.206501,0.908183,2635920
1962-10-24,4.206501,4.333971,4.104525,4.333971,0.935703,3859740
1962-10-25,4.333971,4.340344,4.231995,4.314850,0.931576,2800665
1962-10-26,4.295730,4.295730,4.196941,4.225621,0.912311,1623915
1962-10-29,4.308477,4.394519,4.308477,4.391332,0.948088,3687150
1962-10-30,4.391332,4.486934,4.348311,4.483748,0.968040,2769285
1962-10-31,4.474187,4.474187,4.388145,4.410453,0.952216,1231665
1962-11-01,4.410453,4.486934,4.359465,4.486934,0.968728,2086770
1962-11-02,4.486934,4.714786,4.423199,4.553856,0.983177,3279210
1962-11-05,4.579350,4.643085,4.579350,4.608031,0.995082,1812195
1962-11-07,4.608031,4.671765,4.537922,4.604844,0.994393,1827885
1962-11-08,4.604844,4.652645,4.528362,4.528362,0.977877,1333650
1962-11-09,4.550669,4.608031,4.550669,4.604844,0.994393,1153215
1962-11-12,4.659018,4.767368,4.659018,4.760994,1.028114,2275050
1962-11-13,4.760994,4.786488,4.674952,4.674952,1.009533,2212290
1962-11-14,4.681326,4.786488,4.681326,4.773741,1.030866,1929870
1962-11-15,4.773741,4.835883,4.748247,4.748247,1.025361,2180910
1962-11-16,4.748247,4.824729,4.703633,4.824729,1.041877,1569000
1962-11-19,4.824729,4.824729,4.741874,4.741874,1.023986,980625
1962-11-20,4.767368,4.823136,4.767368,4.797642,1.036028,1176750
1962-11-21,4.797642,4.840663,4.773741,4.808795,1.038437,1670985
1962-11-23,4.808795,4.945825,4.783301,4.945825,1.068027,2894805
1962-11-26,4.945825,5.031867,4.926705,4.955386,1.070092,2243670
1962-11-27,4.955386,5.044614,4.926705,5.031867,1.086608,1812195
1962-11-28,5.041428,5.111536,5.041428,5.066922,1.094178,2784975
1962-11-29,5.066922,5.111536,5.057361,5.111536,1.103811,1835730
1962-11-30,5.111536,5.121096,5.063735,5.079669,1.096930,1365030
1962-12-03,5.028681,5.028681,4.974506,4.990440,1.077661,1349340
1962-12-04,5.003187,5.109943,5.003187,5.101976,1.101747,1843575
1962-12-05,5.101976,5.175271,5.082855,5.082855,1.097618,2243670
1962-12-06,5.082855,5.146590,5.073295,5.079669,1.096930,1451325
1962-12-07,5.079669,5.133843,5.066922,5.066922,1.094178,1168905
1962-12-10,5.066922,5.108349,4.958572,4.958572,1.070779,1545465
1962-12-11,4.958572,5.003187,4.923518,4.939452,1.066651,1184595
1962-12-12,4.964946,5.028681,4.964946,5.019120,1.083855,808035
1962-12-13,5.019120,5.044614,4.939452,4.945825,1.068027,1176750
1962-12-14,4.945825,4.980880,4.913958,4.964946,1.072156,1043385
1962-12-17,4.964946,4.996813,4.894837,4.907584,1.059769,949245
1962-12-18,4.907584,4.949012,4.862970,4.872530,1.052199,917865
1962-12-19,4.872530,5.003187,4.872530,4.998407,1.079381,1012005
1962-12-20,4.998407,5.060548,4.998407,4.998407,1.079381,1333650
1962-12-21,4.998407,5.015934,4.910771,4.910771,1.060457,941400
1962-12-24,4.944232,5.022307,4.944232,5.022307,1.084543,713895
1962-12-26,5.022307,5.060548,5.000000,5.019120,1.083855,760965
1962-12-27,5.019120,5.044614,4.964946,4.984066,1.076285,823725
1962-12-28,4.984066,5.009560,4.977693,5.003187,1.080415,611910
1962-12-31,5.003187,5.031867,4.964946,4.971319,1.073533,1098300
1963-01-02,4.971319,4.971319,4.898024,4.904398,1.059081,2502555
1963-01-03,4.913958,5.054175,4.913958,5.054175,1.091424,1176750
1963-01-04,5.060548,5.108349,5.060548,5.060548,1.092801,1608225
1963-01-07,5.060548,5.108349,5.009560,5.019120,1.083855,925710
1963-01-08,5.060548,5.143403,5.060548,5.143403,1.110693,1890645
1963-01-09,5.143403,5.194391,5.114723,5.146590,1.111382,2000475
1963-01-10,5.159337,5.213512,5.159337,5.181644,1.118950,1623915
1963-01-11,5.181644,5.197578,5.149777,5.197578,1.122392,1412100
1963-01-14,5.197578,5.286807,5.197578,5.280433,1.140284,2588850
1963-01-15,5.280433,5.328235,5.258126,5.289994,1.142349,2180910
1963-01-16,5.283620,5.283620,5.188018,5.207138,1.124456,1325805
1963-01-17,5.216699,5.286807,5.216699,5.274060,1.138908,1270890
1963-01-18,5.274060,5.296367,5.232632,5.258126,1.135467,894330
1963-01-21,5.258126,5.277247,5.207138,5.277247,1.139596,917865
1963-01-22,5.277247,5.337795,5.277247,5.286807,1.141661,972780
1963-01-23,5.286807,5.309114,5.270873,5.280433,1.140284,690360
1963-01-24,5.280433,5.334608,5.277247,5.302741,1.145101,972780
1963-01-25,5.302741,5.334608,5.277247,5.334608,1.151983,729585
1963-01-28,5.350542,5.411090,5.350542,5.411090,1.168499,1663140
1963-01-29,5.411090,5.411090,5.372849,5.376036,1.160929,776655
1963-01-30,5.376036,5.382409,5.328235,5.347355,1.154736,753120
1963-01-31,5.347355,5.404716,5.328235,5.401530,1.166434,1043385
1963-02-01,5.401530,5.415870,5.391969,5.401530,1.166434,564840
1963-02-04,5.401530,5.407903,5.350542,5.356915,1.156800,658980
1963-02-05,5.356915,5.376036,5.321861,5.366475,1.159140,800190
1963-02-06,5.366475,5.401530,5.331421,5.331421,1.151569,737430
1963-02-07,5.340982,5.385596,5.340982,5.340982,1.153634,682515
1963-02-08,5.340982,5.372849,5.328235,5.353728,1.156387,627600
1963-02-11,5.353728,5.363289,5.325048,5.325048,1.150192,478545
1963-02-12,5.325048,5.334608,5.267686,5.334608,1.152257,957090
1963-02-13,5.334608,5.353728,5.321861,5.321861,1.149503,658980
1963-02-14,5.323454,5.363289,5.323454,5.325048,1.150192,878640
1963-02-15,5.325048,5.350542,5.321861,5.337795,1.152947,596220
1963-02-18,5.337795,5.347355,5.325048,5.326641,1.150537,470700
1963-02-19,5.326641,5.331421,5.280433,5.283620,1.141243,800190
1963-02-20,5.270873,5.270873,5.219885,5.239006,1.131607,941400
1963-02-21,5.239006,5.239006,5.175271,5.229446,1.129543,878640
1963-02-25,5.226259,5.226259,5.149777,5.149777,1.112334,635445
1963-02-26,5.149777,5.216699,5.133843,5.184831,1.119906,847260
